timestamp,omega_to_spin,absolute_theta,calc_omega,gyroZ
1776771163.3311985,0,0.0,0.0,-2.092791433648604e-07
1776771163.3426192,0,0.0,0.0,-2.092791433648604e-07
1776771163.3677967,0,0.0,0.0,-2.092791433648604e-07
1776771163.3927171,0,0.0,0.0,-2.092791433648604e-07
1776771163.4177437,0,0.0,0.0,-1.1835898219193439e-05
1776771163.4427667,0,0.0,0.0,-1.1835898219193439e-05
1776771163.4746242,0,0.0,0.0,1.6067987562795145e-05
1776771163.4930973,0,0.0,0.0,0.005231769304979493
1776771163.5187492,0,-0.015514037795505154,-0.6291207740603731,0.005231769304979493
1776771163.5427577,0,-0.015514037795505154,0.0,-0.0005908415281954563
1776771163.5772219,0,-0.031028075591010312,-0.4501317163361567,-0.0005908415281954563
1776771163.592895,0,-0.062056151182020625,-1.9798755790737677,-0.003723052707223674
1776771163.6177375,0,-0.062056151182020625,0.0,-0.005676324711962873
1776771163.6432812,0,-0.015514037795505156,1.8213961236600704,-0.005676324711962873
1776771163.6677902,0,-0.015514037795505156,0.0,-0.005676324711962873
1776771163.6929443,0,-0.031028075591010305,-0.6166717916378891,-0.005676324711962873
1776771163.7176955,0,-0.0620561511820206,-1.2533339262267118,-0.010157223703787206
1776771163.7428696,0,2.0816681711721685e-17,2.464911815212404,-0.012698802633763332
1776771163.768004,0,-0.07757018897752574,-3.0868694571029347,-0.009136406548929457
1776771163.7942524,0,-0.06205615118202057,0.5917122013443532,-0.009136406548929457
1776771163.817925,0,-0.07757018897752571,-0.6542914248264331,-0.00369282349762652
1776771163.8449225,0,-0.07757018897752571,0.0,-0.00369282349762652
1776771163.86774,0,5.551115123125783e-17,3.4030599952847336,-0.0010256770816314449
1776771163.895205,0,-0.0930842267730309,-3.385860243613137,-0.00400674221267389
1776771163.9177916,0,-0.0930842267730309,0.0,-0.00400674221267389
1776771163.9428322,0,-0.0930842267730309,0.0,-0.006876191800588382
1776771163.9698277,0,-0.10859826456853607,-0.5744530146533054,-0.006876191800588382
1776771163.9928923,0,-0.0310280755910103,3.3632383748805252,-0.004939197062555342
1776771164.0178065,0,-0.0310280755910103,0.0,-0.002574342742531811
1776771164.043138,0,-0.15514037795505153,-4.896897852920442,-0.002574342742531811
1776771164.0679705,0,-0.1706544157505567,-0.6250537038138643,-0.002574342742531811
1776771164.0928984,0,-0.1706544157505567,0.0,-0.00607395508435621
1776771164.1177542,0,-0.1706544157505567,0.0,-0.00607395508435621
1776771164.1428363,0,-0.1706544157505567,0.0,-0.00589490515058845
1776771164.1734085,0,-0.13962634015954642,1.0145403782755686,-0.00589490515058845
1776771164.1927588,0,-0.13962634015954642,0.0,-0.0013140172347119933
1776771164.2178164,0,-0.23271056693257736,-3.712450266160458,-0.003544002773455914
1776771164.2427397,0,-0.13962634015954642,3.734466595479796,-0.005553082549759091
1776771164.2677426,0,-0.13962634015954642,0.0,-0.005553082549759091
1776771164.3013608,0,-0.1551403779550516,-0.46151973716124645,-0.011010617543953024
1776771164.3180099,0,-0.1551403779550516,0.0,-0.011010617543953024
1776771164.3441553,2.0,-0.1861684535460619,-1.1866832764678568,-0.011852384765043012
1776771164.3680754,2.0,-0.294766718114598,-4.541679650150253,-0.011852384765043012
1776771164.395165,2.0,-0.21719652913707221,2.86349313867324,-0.013363845244900724
1776771164.4176981,2.0,-0.21719652913707221,0.0,-0.013363845244900724
1776771164.4706001,2.0,-0.23271056693257733,-0.2932851550554308,-0.011808203612554862
1776771164.4824302,2.0,-0.23271056693257733,0.0,-0.010845519553076258
1776771164.4932048,2.0,-0.32579479370560827,-8.572070976398164,-0.010845519553076258
1776771164.520275,2.0,-0.35682286929661855,-1.146588033476445,-0.010845519553076258
1776771164.542816,2.0,-0.35682286929661855,0.0,-0.011187342153905617
1776771164.5677536,2.0,-0.2792526803190928,3.109794822400568,-0.011187342153905617
1776771164.5945282,2.0,-0.35682286929661855,-2.897563823388629,-0.0065622730855410105
1776771164.6178124,2.0,-0.2637386425235876,3.9977017129592958,-0.006957578134119183
1776771164.6427925,2.0,-0.2792526803190928,-0.6209796137100836,-0.003420760611252131
1776771164.6731281,2.0,-0.2792526803190928,0.0,-0.003420760611252131
1776771164.6932201,2.0,-0.2792526803190928,0.0,0.003518005653202361
1776771164.7177615,2.0,-0.2792526803190928,0.0,0.00432721834088003
1776771164.7426512,2.0,-0.2792526803190928,0.0,0.00432721834088003
1776771164.7678232,2.0,-0.2792526803190928,0.0,0.00432721834088003
1776771164.7930143,2.0,-0.2792526803190928,0.0,0.007047847204623915
1776771164.8214438,2.0,-0.26373864252358764,0.541668116056259,0.005617773058297
1776771164.842878,2.0,-0.26373864252358764,0.0,0.005617773058297
1776771164.8677416,2.0,-0.26373864252358764,0.0,0.005617773058297
1776771164.8931313,2.0,-0.18616845354606187,3.0583746525149436,0.0002486003690793666
1776771164.9176855,2.0,-0.2792526803190928,-3.7877250251370906,0.005596845143960511
1776771164.9450471,2.0,-0.2792526803190928,0.0,0.009756849449291973
1776771164.9777374,2.0,-0.2792526803190928,0.0,0.009756849449291973
1776771164.9930773,2.0,-0.2792526803190928,0.0,0.013833142097277467
1776771165.0177493,2.0,-0.2792526803190928,0.0,0.013833142097277467
1776771165.050419,2.0,-0.04654211338651551,7.13952587722787,0.006912978423344305
1776771165.0685024,2.0,-0.21719652913707221,-9.397832290848998,0.006912978423344305
1776771165.0933669,2.0,-0.10859826456853613,4.36794943923504,0.00532013160995579
1776771165.1177535,2.0,-0.20168249134156707,-3.8166434790657484,0.008575584951187789
1776771165.1427538,2.0,-0.20168249134156707,0.0,0.008575584951187789
1776771165.1677465,2.0,-0.015514037795505226,7.452039828808694,0.008575584951187789
1776771165.1931782,2.0,-0.015514037795505226,0.0,0.009563847572633217
1776771165.2187755,2.0,-0.10859826456853616,-3.635194688047884,0.009610354048936532
1776771165.2431977,2.0,-0.015514037795505226,3.8120598399796006,0.005257347866946316
1776771165.2677915,2.0,-0.10859826456853616,-3.7848242420729075,0.005257347866946316
1776771165.2929952,2.0,-8.326672684688674e-17,4.3097183789655515,0.006826941442183173
1776771165.3181837,2.0,0.015514037795505073,0.6188888329180667,0.006826941442183173
1776771165.3427868,2.0,0.031028075591010243,0.6272831548174997,0.008924383523462646
1776771165.3677425,2.0,-0.062056151182020694,-3.7305057921689975,0.008924383523462646
1776771165.392806,2.0,0.031028075591010243,3.714534186029767,0.012635600332467127
1776771165.4177327,2.0,0.031028075591010243,0.0,0.012635600332467127
1776771165.4427376,2.0,-0.062056151182020666,-3.723425885891419,0.012635600332467127
1776771165.4678447,2.0,0.06205615118202057,4.943212130536874,0.0013996356575863953
1776771165.4946256,2.0,0.10859826456853604,1.7379037119234673,0.006475817546093151
1776771165.5177197,2.0,0.13962634015954634,1.3430046702751919,0.006475817546093151
1776771165.5427306,2.0,0.13962634015954634,0.0,0.006475817546093151
1776771165.5680025,2.0,0.13962634015954634,0.0,0.008956938056874968
1776771165.592927,2.0,-2.7755575615628914e-17,-5.601003424253732,0.003441269967301892
1776771165.6177897,2.0,0.12411230236404121,4.993139255819402,0.0029273734041502697
1776771165.6427622,2.0,0.12411230236404121,0.0,0.0029273734041502697
1776771165.6688673,2.0,0.15514037795505153,1.18863420250326,0.0029273734041502697
1776771165.6934662,2.0,0.15514037795505153,0.0,0.005164334914339688
1776771165.7184532,2.0,0.24822460472808247,3.724562549521395,0.010001008449884373
1776771165.7432172,2.0,0.15514037795505153,-3.7631910464879397,0.01223796996007379
1776771165.768874,2.0,0.17065441575055668,0.6038753726679819,0.01223796996007379
1776771165.792765,2.0,0.201682491341567,1.2992680233981622,0.01223796996007379
1776771165.8179042,2.0,0.2327105669325773,1.2337995976837022,0.013212280638628225
1776771165.8427236,2.0,0.2327105669325773,0.0,0.013212280638628225
1776771165.870822,2.0,0.2327105669325773,0.0,0.015525977834718109
1776771165.892618,2.0,0.0620561511820206,-7.829453830085243,0.018583778651661026
1776771165.920375,2.0,0.21719652913707216,5.588960531649743,0.018583778651661026
1776771165.9427612,2.0,0.24822460472808247,1.38632417111773,0.01855354944206387
1776771165.97107,2.0,0.35682286929661855,3.8353202215578013,0.01855354944206387
1776771165.9927425,2.0,0.2947667181145979,-2.863896429815521,0.01677002607583177
1776771166.018029,2.0,0.3723369070921237,3.0680939412809045,0.008643019341827594
1776771166.0448449,2.0,0.3723369070921237,0.0,0.008643019341827594
1776771166.0695658,2.0,0.3878509448876289,0.6276522410062265,0.0044225566173018245
1776771166.0928786,2.0,0.294766718114598,-3.999175882357474,0.0044225566173018245
1776771166.118645,2.0,0.40336498268313403,4.209042261665057,0.011707796130216008
1776771166.1427233,2.0,0.40336498268313403,0.0,0.011707796130216008
1776771166.1677408,2.0,0.26373864252358764,-5.581146820639717,0.008024483206993517
1776771166.1929007,2.0,0.41887902047863923,6.166191985239791,0.01043119335569003
1776771166.2177823,2.0,0.34130883150111346,-3.117034594211405,0.01043119335569003
1776771166.2427697,2.0,0.4499070960696495,4.346649891908439,0.009268531448107173
1776771166.267768,2.0,0.4499070960696495,0.0,0.009268531448107173
1776771166.292842,2.0,0.4343930582741444,-0.6186652352830742,0.009268531448107173
1776771166.3178594,2.0,0.34130883150111346,-3.722822315477108,0.00719201728116419
1776771166.343683,0,0.43439305827414443,3.6030559961888793,0.00719201728116419
1776771166.3688471,0,0.4499070960696496,0.6165023570492906,0.012507707522633013
1776771166.3953133,0,0.4809351716606599,1.1723057800768995,0.012507707522633013
1776771166.4178803,0,0.4809351716606599,0.0,0.014753970328083092
1776771166.442982,0,0.4809351716606599,0.0,0.014753970328083092
1776771166.4683902,0,0.6050474740247012,4.8849044372004915,0.014391219812917242
1776771166.4927785,0,0.5274772850471754,-3.182091583052396,0.013642465544433881
1776771166.5185597,0,0.5429913228426806,0.6016086277108978,0.013642465544433881
1776771166.5435116,0,0.6515895874112166,4.3496799575327225,0.006008427459244841
1776771166.5678463,0,0.5740193984336909,-3.189422153800532,0.006008427459244841
1776771166.6026976,0,0.5895334362291961,0.4451310397367582,0.004969007713865767
1776771166.6181939,0,0.4964492094561651,-6.005499756826241,0.0003950957694348066
1776771166.64279,0,0.4964492094561651,0.0,0.0003950957694348066
1776771166.668032,0,0.6050474740247012,4.303732489326692,0.00035091461694665795
1776771166.6928282,0,0.5119632472516702,-3.7647877101271963,0.00035091461694665795
